step,latitude,longitude,time,heightAboveGround,valid_time,u10,v10
0 days 03:00:00,45.75,354.5,2025-06-04,10.0,2025-06-04 03:00:00,6.7875,-3.2250004
0 days 03:00:00,45.75,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.6,-3.6000004
0 days 03:00:00,45.75,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.225,-3.4125004
0 days 03:00:00,45.75,355.25,2025-06-04,10.0,2025-06-04 03:00:00,5.225,-3.2250004
0 days 03:00:00,45.75,355.5,2025-06-04,10.0,2025-06-04 03:00:00,4.6625,-3.4750004
0 days 03:00:00,45.75,355.75,2025-06-04,10.0,2025-06-04 03:00:00,4.475,-3.2250004
0 days 03:00:00,45.75,356.0,2025-06-04,10.0,2025-06-04 03:00:00,4.225,-3.7875004
0 days 03:00:00,45.75,356.25,2025-06-04,10.0,2025-06-04 03:00:00,4.5375,-4.0375004
0 days 03:00:00,45.75,356.5,2025-06-04,10.0,2025-06-04 03:00:00,4.7875,-5.6000004
0 days 03:00:00,45.75,356.75,2025-06-04,10.0,2025-06-04 03:00:00,6.225,-3.0375004
0 days 03:00:00,45.75,357.0,2025-06-04,10.0,2025-06-04 03:00:00,8.7875,4.3999996
0 days 03:00:00,45.75,357.25,2025-06-04,10.0,2025-06-04 03:00:00,9.85,5.9624996
0 days 03:00:00,45.75,357.5,2025-06-04,10.0,2025-06-04 03:00:00,8.1625,5.7124996
0 days 03:00:00,45.75,357.75,2025-06-04,10.0,2025-06-04 03:00:00,7.5375,5.2124996
0 days 03:00:00,45.75,358.0,2025-06-04,10.0,2025-06-04 03:00:00,7.0375,4.7749996
0 days 03:00:00,45.75,358.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,4.7749996
0 days 03:00:00,45.75,358.5,2025-06-04,10.0,2025-06-04 03:00:00,5.6625,3.0249996
0 days 03:00:00,45.75,358.75,2025-06-04,10.0,2025-06-04 03:00:00,0.975,1.8999996
0 days 03:00:00,45.75,359.0,2025-06-04,10.0,2025-06-04 03:00:00,1.2875,3.2124996
0 days 03:00:00,45.75,359.25,2025-06-04,10.0,2025-06-04 03:00:00,0.5375,3.0249996
0 days 03:00:00,45.75,359.5,2025-06-04,10.0,2025-06-04 03:00:00,0.725,2.5249996
0 days 03:00:00,45.75,359.75,2025-06-04,10.0,2025-06-04 03:00:00,0.725,1.7124996
0 days 03:00:00,45.75,360.0,2025-06-04,10.0,2025-06-04 03:00:00,1.1625,0.7124996
0 days 03:00:00,46.0,0.25,2025-06-04,10.0,2025-06-04 03:00:00,6.35,-1.7875004
0 days 03:00:00,46.0,354.25,2025-06-04,10.0,2025-06-04 03:00:00,6.975,-2.1625004
0 days 03:00:00,46.0,354.5,2025-06-04,10.0,2025-06-04 03:00:00,7.1625,-2.7875004
0 days 03:00:00,46.0,354.75,2025-06-04,10.0,2025-06-04 03:00:00,6.975,-3.2250004
0 days 03:00:00,46.0,355.0,2025-06-04,10.0,2025-06-04 03:00:00,6.6,-3.2250004
0 days 03:00:00,46.0,355.25,2025-06-04,10.0,2025-06-04 03:00:00,6.725,-2.7250004
0 days 03:00:00,46.0,355.5,2025-06-04,10.0,2025-06-04 03:00:00,5.5375,-2.6625004
0 days 03:00:00,46.0,355.75,2025-06-04,10.0,2025-06-04 03:00:00,4.7875,-3.7875004
0 days 03:00:00,46.0,356.0,2025-06-04,10.0,2025-06-04 03:00:00,4.5375,-3.9750004
0 days 03:00:00,46.0,356.25,2025-06-04,10.0,2025-06-04 03:00:00,4.725,-4.7250004
0 days 03:00:00,46.0,356.5,2025-06-04,10.0,2025-06-04 03:00:00,5.6625,-4.6000004
0 days 03:00:00,46.0,356.75,2025-06-04,10.0,2025-06-04 03:00:00,5.4125,-5.4125004
0 days 03:00:00,46.0,357.0,2025-06-04,10.0,2025-06-04 03:00:00,5.0375,-4.7875004
0 days 03:00:00,46.0,357.25,2025-06-04,10.0,2025-06-04 03:00:00,8.5375,3.2749996
0 days 03:00:00,46.0,357.5,2025-06-04,10.0,2025-06-04 03:00:00,9.1625,5.8999996
0 days 03:00:00,46.0,357.75,2025-06-04,10.0,2025-06-04 03:00:00,7.725,5.0874996
0 days 03:00:00,46.0,358.0,2025-06-04,10.0,2025-06-04 03:00:00,7.85,4.0874996
0 days 03:00:00,46.0,358.25,2025-06-04,10.0,2025-06-04 03:00:00,6.2875,3.7749996
0 days 03:00:00,46.0,358.5,2025-06-04,10.0,2025-06-04 03:00:00,5.6625,3.5249996
